text,emotion,updated_emotion
I can finally say my son is sel sufficient,impressed,very positive
I ordered McDonalds today on UberEats. It was terrible.,disgusted,very negative
I bought all of the groceries to make lunches for the kids this week. I am so ready,prepared,positive
I went hiking all alone yesterday because my friend's ditched me. Never felt so alone.,lonely,negative
I preordered a New Tesla 3 last fall and have still yet to be contacted about when we will get it.  Tesla is such a let down for us right now!,disappointed,negative
I am so ready for this weekend. I am going to a party.,anticipating,positive
My Mom didn't make my oatmeal right yesterday. I took it from her hands and dumped it all over head because I was so mad.,angry,very negative
I am so excited I will be able to take a trip,excited,very positive
"Yesterday, my son spoke his first word. My eyes were filled with tears.",proud,very positive
I think this my new job is the best one I've ever had. I'm never going to quit.,content,positive
"I have my physics test tomorrow that I have been studying 10 days for, Never felt so ready in my life.",confident,very positive
I am home alone this weekend. I do not like that. It gets too quiet.,afraid,very negative
I took out the garbage yesterday. The bag exploded as I took it to the street. It was so gross.,disgusted,very negative
I swore off fast food this month and today I had McDonalds. I have no will power.,guilty,very negative
My sister and I watch each other's children while we work,caring,positive
My co-worker won the lottery. ,jealous,negative
My son moved out last year. I still left his room how it was. Sometimes I go in there and look at his pictures and old trophies.,sentimental,positive
I can believe my son is finally going to the potty. I had almost given up.,proud,very positive
I was so grossed out to see my ex,disgusted,very negative
I remember me and my sister being best friends as kids. We hardly ever speak now.,sentimental,positive
I am going to be having my baby next week. I have spent the last several days getting things ready at home and also preparing meals in advance for the freezer.,prepared,positive
So thankful for good friends,grateful,very positive
I'm taking the drivers test for my license monday. I am so nervous.,afraid,very negative
I'm headed off to college soon. This is so scary.,excited,very positive
I had a bad day at work and my girlfriend made me my favorite dinner. I am so happy she is my girlfriend,grateful,very positive
I went to a restaurant with a 19 year old head chef. He was amazing.,impressed,very positive
I really miss being young and not having any responsibility,nostalgic,positive
I remember calling my teacher mama in front of the entire class.,embarrassed,negative
I need to buy some clothes for winter. I need a new jacket and boots.,anticipating,positive
A guy cut us off in the car today and almost made us get in a car accident. I don't understand why people can't just try to drive to not kill others. It's not a joke.,disappointed,negative
I sent my daughter shopping for school clothes. She cam back with three thing. I am so mad.,furious,very negative
I ate an entire pizza today. That is so bad.,guilty,very negative
"I just celebrated my 40th birthday, and my wife took me on a surprise vacation with 5 of our best friends!",surprised,positive
I am going to ace all my classes this semester. I am determined.,confident,very positive
I felt a little bad I accidentally bought 6 packages of clearance cookies. I thought they were gluten free but I got the wrong kind. I was in a rush!,guilty,very negative
I am so happy my ex and I had a clean break. We are still friends.,grateful,very positive
My refrigerator broke today. I just went grocery shopping,angry,very negative
My wife is pregnant with our first child.  I can't wait to see this baby for the first time!,anticipating,positive
I am thrilled!  I just found out that I'm pregnant!  Its my second child and I've been having trouble getting pregnant again.  It was such a surprise!,excited,very positive
I saw a mom and baby bunny around 8 and they were letting me talk to them. It was a bit shocking as usually bunnies take off whenever they see or hear anything. They were so sweet!,surprised,positive
I can't wait until I have grandkids. ,anxious,negative
"I was surprised when I saw two bunnies..a mom I assume and her baby, running around. They stopped to listen to me talking to them too.",surprised,positive
I'm not sure if my boyfriend is the right one for me.,apprehensive,negative
My kids are spending the weekend with my sister before school starts back. I am so alone right now.,lonely,negative
I am super aggravated at people that just can't let things be peaceful. Even if you disagree..what is so hard about just being nice and letting it still not get ugly?,annoyed,negative
I can't believe my daughter left the freezer open.  The popsicles melted.,angry,very negative
My kids are out of town on vacation with my parents for the next week. It is way too quiet and boring here.,lonely,negative
I had to go to the DMV today to renew my license.  It took 4 hours and I ended up having to use a sick day...Not happy!,angry,very negative
I miss my ex even though we have been broken up two years.,lonely,negative
I am super sad that people do not want to change their destructive behaviors. It's very sad especially when you know someone was abused for so long and they just keep ruining their lives. Almost like they are continuing the abuse on themselves.,sad,negative
My co-worker farted in her cubicle adjacent to mine. It was so gross.,disgusted,very negative
I broke my phone today. It was the worst.,sad,negative
I got out of the slammer last month after being in there for 50 years. I have much hope for my future.,hopeful,very positive
"Last week, my husband surprised me with a trip to Charleston, South Carolina next month. I am so excited! We haven't had a vacation in years so I can't even believe it!",surprised,positive
I applied for a new job last week. I am really wanting to get this one.,hopeful,very positive
I lost another wallet today. I just can't keep up with those things,angry,very negative
I am happy I am not being abused today. I am happy I have a chance to live my life still and make something of it.,grateful,very positive
I hate when people get new things when they come out and I have to save up,jealous,negative
My friends wouldn't go with me to the gym last night. I was so angry that I broke my tv.,furious,very negative
"I was married to my wife for thirty years, and even though she has passed I can't bring myself to date anyone else.",faithful,positive
I left my daughter home today and she cleaned the entire house. That was unexpected,impressed,very positive
"My grandma broke a fingernail yesterday. I took her to the ER, but turns out she is fine.",caring,positive
I miss old times when my grandma was with us.,nostalgic,positive
I love that I have friendly neighbors that like to sit outside and have a bee on the weekends,joyful,very positive
I just found out that I'm pregnant. Its exciting but also scary because I lost my last baby at 18 weeks along. I'm just really trying to have faith that it'll turn out well.,hopeful,very positive
My ex was supposed to get our son today so I could take my daughter school shopping. He flaked.,furious,very negative
"When I was little, I was always afraid of going to bed. Always thought there was a monster in my closet.",terrified,very negative
I was robbed at gunpoint once when i worked as a cashier. ,terrified,very negative
I love thatmy kids have started helping out around the house now,grateful,very positive
My big soccer game is tomorrow. So excited that I can't even sleep.,anticipating,positive
I didn't ask the girl I like to the Prom and I really wish I had.,disappointed,negative
I got a bonus in my last paycheck. I was so shocked at my manager's generosity.,surprised,positive
I am happy to snuggle in my boyfriends arms and watch tv all day tomorrow,joyful,very positive
"My daughter and I found a sweet little bird that was hurt yesterday, sitting outside our door. We are trying to give it water and help it heal. Its so pitiful and helpless.",caring,positive
"I planned for a great vacation, then someone at work got sick so I couldn't go. ",disappointed,negative
I was happy to find that at work my coworker prepared a birthday party for me.,surprised,positive
Took the trash out last night. I saw a herd of cockroaches at the bottom of the bin. It was revolting.,disgusted,very negative
I couldn't believe my friend started working with me,surprised,positive
I was so mad when I got a flat tire last weekend. It was in traffic as well,angry,very negative
My daughter spoke her first words yesterday. I was so proud.,impressed,very positive
I could not wait to go to the amusement park. I had no been to one in a long time,anticipating,positive
My daughters all made the A honor roll at school. ,proud,very positive
I am lucky to have a roof over my head,content,positive
Went to the park yesterday alone. My friends ditched me.,lonely,negative
I am so happy to be working and making money.,proud,very positive
My Mother was ill. I was very worried about her condition. ,caring,positive
"I went to close a bank account today, and when they got there they said it was overdrawn by an IRS tax lien.  I have never been so angry in my life!",furious,very negative
My son goes to kindergarten in a week and I can't imagine him being gone through the day. It's hard to not be worried about how he'll be at school.,apprehensive,negative
My friends threw me a surprise birthday party. I was so shocked and happy.,surprised,positive
I was very happy when I got to see my aunt at Christmas. I had no seen her in a long time,grateful,very positive
I was scared when i had t go home alone the other day,afraid,very negative
The cashier at the grocery store gave me back the wrong amount of change. i didn't notice until I was at home. ,furious,very negative
I have my driver's test tomorrow. Been practicing all week and I think I am going to nail it.,confident,very positive
I was very happy to have the whole family at my house for Easter,joyful,very positive
I was pretty envious when my brother got a cd I wanted. It was my favorite band,jealous,negative
I was waiting in a long line to take the bus. Two young women cut the line and go directly in front everybody.,angry,very negative
I was afraid when i went home alone the other day,afraid,very negative
I am sure I will get this house clean tomorrow,confident,very positive
My dad left for deployment to Afghanistan yesterday. I am so depressed.,sad,negative
I just felt like I had to take care of my dad when he got sick. I just had to make sure he felt better,caring,positive
I just had to bury my Golden retriever today.  I had him for 10 years.,sad,negative
"I haven't been feeling well and my husband has been so great.  He takes care of the kids, goes grocery shopping, and makes sure I'm resting.  ",grateful,very positive
I am a little nervous about dating,apprehensive,negative
its impressive when a team can snag away a start player from another team,impressed,very positive
I ate 50 Big Macs yesterday. Felt so bad about all the hungry folks hanging around across the street.,guilty,very negative
My sister graduated from high school and my parents bought her a car. I didnt get a car when I graduated. ,jealous,negative
I was scared going home alone!,terrified,very negative
I felt a little let down when I had to leave work ,disappointed,negative
"I lost my medicine today, one that helps me focus my attention span. I needed it especially because I had a job interview that I wanted to be sharp for. I felt weird during the interview, and now I don't know how I did...",anxious,negative
I threw up on the bus yesterday. I was so mortified.,embarrassed,negative
"My sister just bought a new house, and she is only 25. ",impressed,very positive
I was wishing that he would call me,hopeful,very positive
My neighbor returned my golf clubs the other day. Left them on the golf course. I was thankful.,grateful,very positive
I am jealous of my brother because he is better than me in sport.,jealous,negative
 I start a new job as a nurse next Monday and I'm so nervous. Nothing can prepare you for the real world of nursing compared to nursing school.,anxious,negative
it was nice taking care of my sisters dog the other day,caring,positive
"I kept playing a card game with my brothers, and I kept losing. They were bragging over and over, and being disrespectful. I just wanted to spend quality time with them... It gets frustrating sometimes.",angry,very negative
I can’t wait to go on a blind date,anticipating,positive
Saw a big ole rat when I was taking out the garbage today. It was gross.,disgusted,very negative
"I went to my school reunion alone , my husband couldnt make it. I saw a lot of old boyfriends there. ",faithful,positive
I am in a long disance relationship,faithful,positive
Been studying for a test all week. Feel very prepared for it.,confident,very positive
I found my old teddy bear in a box from a storage unit today.  It really brought back some memories.,nostalgic,positive
i was schocked when i had to go home early,devastated,very negative
I knew a coworker wanted a project at work but I volunteered for it anyway. ,guilty,very negative
 I'm kind of ticked off because my friend that I work with got promoted to manager. I really feel like I should've gotten the job and I know she knows that!,jealous,negative
I have my soccer game tomorrow. I am so pumped that I can't sleep.,excited,very positive
I am feeling uneasy about going to court,anxious,negative
I took the bus without paying for it. I feel bad afterward.,guilty,very negative
I was totaly destroyed when I found that my wife took all the money that was in the bank account and left me.,devastated,very negative
My son used to throw fits when he was in elementary school when I was dropping him off for school. I didn't know what to do and always hated that other people saw it. They probably thought I was beating him.,embarrassed,negative
When i was a kid i was alone at night during a huge thunderstorm.,afraid,very negative
I was saddenned to see Lebron Go,disappointed,negative
I am worried about my interview,anxious,negative
I got to go read my favorite book at the park yesterday. It was so relaxing.,content,positive
My sister and I went through some old pictures,nostalgic,positive
I was in a car wreck on the way home from church. ,afraid,very negative
I changed my baby's diaper for the first time today. It was nasty.,disgusted,very negative
last week i felt all alone when the family left,lonely,negative
My turtle ran away today. I was fraught with despair.,sad,negative
About to open a restaurant with my friend. I hope it goes well.,excited,very positive
i felt sad when I was all alone the other day,lonely,negative
Got out of the hospital yesterday. I am hoping for a healthier future.,hopeful,very positive
I broke up with my boyfriend a month ago.  It was hard but he just wasn't right for me.  The biggest problem I have now is that I feel so isolated and lonely without him.,lonely,negative
My girlfriend is finally coming back to the states after being away for 4 years.,anticipating,positive
My dog pooped on the carpet. Never been so mad in my life.,furious,very negative
This bird chased my cat on our walk.,surprised,positive
I've have been watching this new show Sharp Objects. I don't think its supposed to be scary but I'm scared,terrified,very negative
My sister who was my best friend passed away. ,lonely,negative
I am worried about not being ready for the party on Friday,anxious,negative
"I was watching my cousin, who is only 13-years-old, being a pretty good motherly figure towards my 7-year-old nephew while were hanging out today. It's interesting to see how well she performs at a young age when dealing with kids, and how patient she stays when most adults wouldn't be able to.",impressed,very positive
It took me 3 hours to mow the lawn. I'm glad it's done.,joyful,very positive
I was all alone last week when my dog got out,lonely,negative
Went to the bowling alley alone yesterday.,lonely,negative
"We had a group project, and everyone was delegated their parts.",trusting,very positive
I was pretty terrified when a tornado watch was issued. I was real worried,afraid,very negative
"Passed by my old classroom. Looking in, it made me miss the time I suffered in the back through lecture.",nostalgic,positive
I have been trying to save money for a big vacation next summer.  I hope I can do it!,hopeful,very positive
I was shocked when i wasnt approved for time off the other day,devastated,very negative
Went to the skating rink alone yesterday. Wasn't too grand.,lonely,negative
I felt bad when I ate sugar the other day. I am on keto and it's a pain to cook the sweet treats I can have. It requires a lot of ingredients and work ,guilty,very negative
I knew I was going to ace my history finals. I studied hard,prepared,positive
"There was supposed to be a party this weekend, but it got cancelled.",disappointed,negative
"At dinner with my friends, I choked on water and coughed it up all over the food.",embarrassed,negative
"I have a hard time eating, I am allergic to so much! It gives me a lot of mixed feelings whenever I think about eating as I don't know what will happen with my digestions",anxious,negative
I am scared to death of snakes.  They freak me out!,terrified,very negative
 I was very happy this last vacation. It was just so relaxing,content,positive
My friend has been struggling through treatments for colon cancer. I am trying to be as supportive and helpful as I can. I try to go to every chemotherapy treatment she gets since her family isn't nearby.,faithful,positive
They ran out of my favorite dessert at the restaurant I went to.,disappointed,negative
It was impressive when lebron left the cavs for the lakers,impressed,very positive
My friend is having his first baby!,devastated,very negative
I am so happy.  I got an A in my online class.,proud,very positive
"College is starting in 3 weeks, and I have my apartment all settled, my classes picked out, and my student loans scheduled. I feel like I'm on track to start the semester in a way where I'm not hurried or confused, and it feels good.",prepared,positive
I picked up my son from daycare today and they said another kid had pushed him over and taken his toy.,annoyed,negative
I was very angry when I failed my science test. I should have tried better,angry,very negative
When I got home tonight my outdoor window was broken- To my cat room. I do not know who broke it or how. I am in a bad neighborhood so it was very frightening. ,afraid,very negative
My sister went back to college at 30. She is a real inspiration.,proud,very positive
Clown movies scare me.,terrified,very negative
I'm not very close with my family. I sometimes feel bad about it,guilty,very negative
I came home and my outside window to my cat room was broken. It makes me feel scared as I am in a bad neighborhood and would like to know what happened when I wasn't home?,anxious,negative
"I've had family visiting for the past couple of days, some cousins and an uncle and aunt that I haven't seen a long time. It's always great to be reunited with family, especially after you get over that first initial weird social hump of feeling each other out after not having spoken for a long time. It's crazy to see how much the younger cousins have physically changed! Anyway, it's been a blast playing games and catching up with them.",joyful,very positive
I was hapy when i got to leave work early!,joyful,very positive
I hope I win the lottery.  I really could use the money.  It would be awesome.,hopeful,very positive
I'm planning a birthday party for my mom and she lives in another state. So I'm using a caterer that lives near her and banking on them doing a good job.,trusting,very positive
"My laptop broke, and I lost all the information on it.",devastated,very negative
"When I hear this song on the radio, it makes me think of when I was younger. My dad played it a lot",nostalgic,positive
"There was hair in my soup, and the owner wouldn't take responsibility.",disgusted,very negative
"I didn't have a vacuum for a day and it has not been good for awhile. I got a new vacuum tonight and WOW, nice to finally have a clean floor!",content,positive
i loved watching my sisters dog the other day,caring,positive
I was at the beach one time walking by the pier and I saw a diaper floating in the water.,disgusted,very negative
Going camping next weekend. I haven't hung out with my friends in so long.,anticipating,positive
I always make a schedule for tomorrows activities. It keeps me busy and I never forget anaything,prepared,positive
My favorite store is going through some tough times. They're trying to find another distributor so they don't have to raise prices and lose their customers.,hopeful,very positive
I just got cable and ther is seriously nothing on any of these 600 channels,furious,very negative
"I had a big piece of cheesecake yesterday. I didn't need sugar a second day in a row, feel a bit bad!",guilty,very negative
I can't wait to go to the mall tomorrow.  I have been saving up for weeks!,anticipating,positive
I was very scared when a tornado touched down close to my home. I thought I was going to die,terrified,very negative
i loved it when i watched my sisters dog,caring,positive
Just got back from a grocery store. A girl was actually hitting on me.,surprised,positive
I watched my daughter be born this morning.  It was one of the best days of my life!,joyful,very positive
I was very shocked that they had a bunch of deli turkey on clearance with so many people shopping today! I can usually find it once a week but this is the second time! Jackpot!,surprised,positive
I had faith my favorite team was going to well in soccer this past year. I just had a good feeling,hopeful,very positive
I got an extra 2 days paid time off from work.,joyful,very positive
I was sad when my brother missed my birthday. I wanted him there,disappointed,negative
"Someone broke a window in my side yard today. I don't know when, I assume I was gone as my dogs wouldv'e went nuts. I live in a bad neighborhood and it's late so I am still up a bit scared about it.",terrified,very negative
My sister got invited on an all expense paid beach trip by one of our mutual friends.  I can't believe she's getting to go and I haven't had a vacation in 3 years.,jealous,negative
I found the first Christmas ornament my daughter made. She was 3,sentimental,positive
 I knew I was going to pass my final. I studied all week,confident,very positive
"I was supposed to be going on vacation, but one of my coworkers quit suddenly.",disappointed,negative
I still have everything my kids have ever made for me. Its almost hoardinf.,nostalgic,positive
"I looked at a recipe that I wanted for dinner tonight, and I actually had everything I needed to make it.",prepared,positive
I was so happy to see my brother last weekend. It had been forever,joyful,very positive
Im having movie night with my toddlers tomorrow. They like good movies.,excited,very positive
I am going on a cruise next month with my friend. I have been saving up for this for so long. I have never been on a cruise before. I cannot wait!,excited,very positive
the best friend I have had for he last 10 years will always be my best friend,faithful,positive
I felt alone last weekend. I was sick and my friends were out of town,lonely,negative
I sometimes feel so blessed that I had happy healthy children. Some parents are so lucky,grateful,very positive
"I was so shocked when my aunt came to my graduation, She lived far away",surprised,positive
My daughter didnt have a good first year at her new school. I think this year is gon to be better.,hopeful,very positive
The bird sin my neighborhood all gather on my fence if I haven't feed them that day. I feel very protective and cannot help but take care of them.,caring,positive
I was nervous when I started a new school. I did not know anyone,apprehensive,negative
I am angry that the person I live with still doesn't like paying bills. You have to pay bills to have things. That is how life works.,angry,very negative
My sister has been begging me to go to a new haunted museum with her. I am not really into that kind of stuff. It really freaks me out and will give me bad dreams.,afraid,very negative
"My girlfriend has been so busy with work lately, it's left me feeling neglected. But she's working hard to pay off her student loans and to build her savings, so I have to respect that. But at the same time, we're long distance, so the time I have with her when she actually isn't working isn't that fulfilling, either.",lonely,negative
I am really glad to see how hard my son is working,proud,very positive
We finished painting most of my brother's room today. I think we'll be able to get his room done well before he comes back next weekend.,confident,very positive
"I got in a bit of an altercation with a co-worker today, and I'm afraid it may lead to me losing my job. It started with a misunderstanding,and when they didn't want to simply accept that it was a misunderstanding after I apologized, I decided to simply defend myself and there was a verbal back-and-forth witnessed by a few people. This is not the image I wanted to have at my job... ",terrified,very negative
A possom was waiting outside my door.,surprised,positive
"I had lost my iPad in an airport a week ago, and even though it had my contact information, I wasn't sure it'd be returned to me. I just figured it was gone for. But it showed up today, in the same condition!",surprised,positive
I can't believe I am still going to court. My ex is the worst.,disappointed,negative
I was aggravated when I failed my science test. I was mostly upset with myself,annoyed,negative
I have to deal with an entitled person lately and I can't stand it. I can't bare to be around that attitude you know?,disgusted,very negative
I got a ticket today for not coming to a complete stop at a stop sign. So I stopped but they didn't think it was long enough. Ridiculous.,annoyed,negative
"My mom is doing her best to put me through college on her own. She raised me and my brother by herself, and while doing so she put enough aside to cover a chunk of my college expenses somehow. I guess she invested some of they money her grandparents left her, and it turned out to really pay off. She surprised me with this and I had no idea she was going to do that. I don't deserve her.",grateful,very positive
I love my kids so much. I want them to live with me forever,caring,positive
"I don't like to go shopping at big stores. Whenever I think of going to a big store like walmart oe Meijers, I start feeling panicked.",anxious,negative
I am hoping my brother makes my birthday coming up. He is always busy with work,hopeful,very positive
I just accomplished one of my biggest dreams and I feel like things are just perfect right now.,content,positive
Well I am in a relationship kind of..but they are away and I can't talk to them so I am quite lonely. But I cannot live with them they way they have been so it's a pickle.,lonely,negative
I've owned 3 birds in the past 10 years and my 3rd bird just died last night. I didn't realize how much it would crush me. They were my buddies.,devastated,very negative
"My significant other woke up last night with... a roach inside of her ear! She was complaining about pain in her ear, and a head ache that was incredibly severe. So, we took her to the doctor and he saw it with a light... and put water in her ear to get it out. Disgusting! ",terrified,very negative
I left my wallet and home and went grocery shopping. What a nightmare,embarrassed,negative
I was a bit irritated when the police bothered me the other night when I was simply walking. They do this a lot here. Seems like I can't ever go walking at night without them rolling up as if they don't have a million other things to do.,annoyed,negative
It can be hard to wake up sometimes when you live alone. It's like..Oh...yeah. You know?,lonely,negative
Just got a new job after being without one for a couple months now.,grateful,very positive
The mechanic who came to fix our air conditioner overcharged us by $200.,furious,very negative
I am so excited for this semester. I got all of the classes I wanted.,excited,very positive
"My new neighbors just moved in, and they are around my age. Hope we can be friends.",excited,very positive
Sometimes I love just sitting around doing nothing.,content,positive
"I went by my old school, and so much has changed.",sentimental,positive
I am really upset about my electric bill. Its twice as  high as last month.,angry,very negative
"I asked my roomie if he wanted cake, and he said no. Turns out he ate all my cake.",furious,very negative
I went to an Italian restaurant earlier for dinner.  It was pretty good.,content,positive
"There's nothing like being in your house after all your relatives have left after coming over for a long weekend visit. It's nice to see them, but once the frenetic energy is done with and you can kick your feet up... it's rewarding.",content,positive
I am looking forward to getting a new vacuum on Tuesday. I haven't bought a new vacuum in years. It's long overdue.,anticipating,positive
 I almost got hit by a semi truck today on the highway. It scared me half to death.,terrified,very negative
 My son has been having stomach pain for months now and the doctors can't figure out what it is. They basically say he has to get worse for them to find a diagnosis if some new problem comes up. I'm so scared.,afraid,very negative
There is a little cat I tried to help last night. He ran when my dog charged at him though and I am scared of what has happened to him. A lot of cats get hit around here,terrified,very negative
My kids still arent sleep. I sent them to bed hours ago,angry,very negative
"We were having a big family gathering and dinner today, and one of my nephews, who's four, wasn't feeling well. But his parents kept trying to force him to eat something anyway, and were being short-sighted. Well, the poor fella ended up puking onto his plate and ending everyone's appetite.",disgusted,very negative
My friend worked really hard this semester. I'm sure he'll do great.,confident,very positive
"I didn't get a chance to make dinner for my date, so I got her McDonalds.",ashamed,very negative
My husband is coming home after a year abroad in the Army.  I'm about to burst I'm so happy!,joyful,very positive
I'm going water skiing next weekend. It's going to be such a breather from all this heat we've been getting lately.,excited,very positive
"MY daughter keeps begging me to watch IT. I am going to tomorrow, with all of the lights on.",afraid,very negative
My mom and I were talking about atarting a non profit that helps kids get clothing and other essentials.,caring,positive
I found my gold fish floating at the top of the fish tank dead last week.  I am absolutely hurt over it.,devastated,very negative
Learned earlier today that I had been drinking all day out of a cup that had been used earlier by someone who has bronchitis. I'm hoping it's not too contagious... Why can't people properly clean and put things away so I don't confuse dirty dishes with clean dishes!,disgusted,very negative
ended up getting a pizza from Costco. I'm so hungry.,joyful,very positive
MY friend used my car all day today and didnt even put any gas in it. She left trash in it too,furious,very negative
I just bought a lawn mower because mine broke and the grass was getting so long. I barely had it 3 days when my shed was broken into and it was stolen! I'm so irate!,furious,very negative
"My father and brother are in a serious conflict with each other right now, as my father has complained about the way my brother raises his son. Obviously it's a really stressful, tenuous situation and I have no idea who's side to take, and I'm worried it will lead to them not wanting to keep in touch anymore.",afraid,very negative
I woke up one morning and found a puppy in my bed.  I wasn't expecting that!,surprised,positive
"I lent my car to my 17-year-old sister today. She left at 10 in the morning and it's midnight, and she still isn't back with it. I trust her mostly, but she hasn't been driving for long, and it makes me nervous thinking of her out there on the road.",trusting,very positive
Just moved and there is a pier near where I live.,excited,very positive
I won a year of unlimited pizza. I'm so psyched.,joyful,very positive
I am so ready to light a candle and bingewatch,prepared,positive
"I saw firsthand today how caring my cousin can be with children. She was being patient and cooperative with my unruly and difficult two-year-old nephew, and she's only 13-years-old herself. I was pretty proud of how she handled the difficult situation, and it made me imagine her as a mother in the future.",sentimental,positive
I am so tired of my friends flaking on plans. They are so unreliable,angry,very negative
There's a battle of the bands going on. I hope my favorite band gets so far.,anticipating,positive
The other day I accidentally stepped in dog feces.  I was really grossed out.,disgusted,very negative
I lost my wallet once but someone returned it to me.,grateful,very positive
I bought snacks for the kids lunches and I have eaten half of them. Thats so bad,ashamed,very negative
"I took off work to go to a concert, but it got cancelled.",annoyed,negative
MY new laptop is coming monday. I got exactly what I wanted!,excited,very positive
"I've been really sick, and my cat has been taking care of me.",caring,positive
"Next week, I am going to Las Vegas! I can't wait for it!",excited,very positive
I am taking care of my sister when she get out of the hospital,caring,positive
I am so happy theses days.,joyful,very positive
"I was walking back home today, and I had to go through the front yard. The summer time means lots of rain, and so the grass gets a little tall. While I was walking through it, I stepped on a snake! I screamed like a little baby and jogged away really fast.",surprised,positive
A few years back my brother left for college and I had one year of high school left. It was weird having the house be so empty.,lonely,negative
 Its my birthday tomorrow and my husband put together a huge party for me. I'm so excited about it that I may not be able to sleep tonight!,excited,very positive
"I was playing with football with my two nephews, just throwing the ball around, and I threw the ball too high and hard for my younger nephew. It sailed past him and nailed the neighbor's car behind him, and left a dent in the door. I felt so stupid having to go up to their house and tell them what happened...",embarrassed,negative
"I haven't played my flute in years. Picked it up the other day, and I was still able to play my favorite songs.",nostalgic,positive
I am excited for summer to be over soon,joyful,very positive
I bought my parents a new car last week.  I am very happy about it.,joyful,very positive
I met a girl on Tinder and we seemed really into each other. We started dating shortly after and then she dumped me like 4 days in.,devastated,very negative
The piano I ordered is coming in next week.,excited,very positive
I can't wait for this weekend.,excited,very positive
"Last week was my birthday. When I got to work, my office was decorated and there was a cake and some gifts on my desk. I wasn't expecting it.",surprised,positive
I walked to an apartment and it took me a while to realize I was in the wrong apartment.,embarrassed,negative
I am so thankful for having so much land,grateful,very positive
The store I usually buy bird food from raised their prices at least 4 times.,annoyed,negative
"My family is coming to visit me soon, and it has made me very happy.",joyful,very positive
I am looking forward to the new season of Game of Thrones.  I am so excited for it!,anticipating,positive
I am so glad I can talk to my parents about things,grateful,very positive
I am so disappointed on Trump.,disgusted,very negative
I love seeing old friends,sentimental,positive
My son just got engaged to his girlfriend.  I am so happy!,joyful,very positive
"My friend convinced me to go with her to see a new band that was performing. I went along, not expecting them to be good at all. I have to admit that they were way better than expected and I would love to hear them again!",impressed,very positive
I am confident the democrats will bet Trump in november.,hopeful,very positive
I have a big job interview tomorrow and it has got me nervous.,anxious,negative
I am in awe with what I saw last week.,impressed,very positive
Next week I am going camping with friends.  I am so ready for it.,prepared,positive
I am pretty sure I am going to get this planning done soon,confident,very positive
My husband wants to have another child. I am just not sure that it is the best idea right now. I just cannot decide.,apprehensive,negative
I am so piss off at the Democrats.,disgusted,very negative
"Last week, I think I saw a ghost outside.  I was so scared!",terrified,very negative
"Last week, I had a meeting in my office. I worked really hard for that. And because of that, I felt disposed.",prepared,positive
It was nice to have an adult gathering with no kids with family,nostalgic,positive
I saw a person screaming at a puppy today.  I was so upset to see it.,angry,very negative
"My husband and I don't usually get each other gifts for Christmas but last year he got me one, it was a pet puppy. I could not have been more shocked. ",surprised,positive
I am feeling disappointed with myself.,guilty,very negative
"In the world cup 2018, I never thought that, France would win the cup. I was so amazed.",surprised,positive
I am very scared for the USA.,terrified,very negative
My friend just bought a mansion.  I am very envious of him.,jealous,negative
I am so mad at Trump.,furious,very negative
Last year my grandfather passed away. I felt very nostalgic at that time.,sentimental,positive
My husband wants us to move to another state for better job opportunity. I just do not know of it is worth starting over and having no family around.,apprehensive,negative
My dog isn't feeling well,caring,positive
I saw a scary movie last night.  I was so frightened by it!,afraid,very negative
My son stood up to a kid who was bullying him.  I am pleased by his behavior.,proud,very positive
i got cat hair in my food today,disgusted,very negative
My daughter just graduated college with honors. she is the first one in the past 3 generations to go to college.,proud,very positive
I feel so alone these days.,lonely,negative
I am very scary of the things Trump can do as a president.,terrified,very negative
I was in a car accident and it was my new car and it got him. I am so angry.,furious,very negative
I got dumped by this girl but then she said that we could try to start over but slower. I thought it would work out but it didn't.,hopeful,very positive
my brother graduated high school last year.,proud,very positive
I have faith in Trump.,faithful,positive
My mailman delivered my package to the wrong address.  I am furious about it.,angry,very negative
I am very scary and anxious.,terrified,very negative
ive been losing a lot of weight but i gained a bit this summer.,sad,negative
I am so sad that my uncle died.,devastated,very negative
I found out that my favorite tv show got cancelled.  I am so sad it happened.,devastated,very negative
I am so ready for Thanksgiving.,anticipating,positive
I can't believe I am allergic to cats.,disappointed,negative
I always watch the news at 7pm.,faithful,positive
I stole money from the church collection plate.  I feel so pathetic for doing it.,ashamed,very negative
I had just washed my car last week because I was supposed to drive it through the parade. When I got home I realized that whatever chemicals were used in the car wash had stripped my car's paint!,angry,very negative
When I got pregnant. I was confident I would be a good mom.,confident,very positive
I am so mad I have to work on Sunday.,angry,very negative
I ordered pizza today and they forgot to put pepperoni on it.  I am so disappointed about it.,angry,very negative
I was the one who caused the car accident.,guilty,very negative
My friend always interrupts me when I talk.  It really gets under my nerves.,annoyed,negative
"I always know if I need a ride, my brother will help me.",trusting,very positive
I deeply love my wife,caring,positive
I had to dance in front of everyone at the wedding and I can't dance well.,embarrassed,negative
"My phone broke, so I attempted to buy a phone from a co-worker. I gave him the money and he promised to bring the phone the next day. He forgot it, but he did bring it the following day.",trusting,very positive
I can not believe my dad was fired.,surprised,positive
"I saw some family members today, and it felt good to seem them after so long.",content,positive
I watched a man eat an entire turkey the other day.  I was really inspired from seeing it.,impressed,very positive
i went to disney world with my family last week,excited,very positive
I am very anxious on the direction the country,apprehensive,negative
I got by myself on vacation.,lonely,negative
